DATE,QTY_B1_1,PROMO_B1_1,QTY_B1_2,PROMO_B1_2,QTY_B1_3,PROMO_B1_3,QTY_B1_4,PROMO_B1_4,QTY_B1_5,PROMO_B1_5,QTY_B1_6,PROMO_B1_6,QTY_B1_7,PROMO_B1_7,QTY_B1_8,PROMO_B1_8,QTY_B1_9,PROMO_B1_9,QTY_B1_10,PROMO_B1_10,QTY_B1_11,PROMO_B1_11,QTY_B1_12,PROMO_B1_12,QTY_B1_13,PROMO_B1_13,QTY_B1_14,PROMO_B1_14,QTY_B1_15,PROMO_B1_15,QTY_B1_16,PROMO_B1_16,QTY_B1_17,PROMO_B1_17,QTY_B1_18,PROMO_B1_18,QTY_B1_19,PROMO_B1_19,QTY_B1_20,PROMO_B1_20,QTY_B1_21,PROMO_B1_21,QTY_B1_22,PROMO_B1_22,QTY_B1_23,PROMO_B1_23,QTY_B1_24,PROMO_B1_24,QTY_B1_25,PROMO_B1_25,QTY_B1_26,PROMO_B1_26,QTY_B1_27,PROMO_B1_27,QTY_B1_28,PROMO_B1_28,QTY_B1_29,PROMO_B1_29,QTY_B1_30,PROMO_B1_30,QTY_B1_31,PROMO_B1_31,QTY_B1_32,PROMO_B1_32,QTY_B1_33,PROMO_B1_33,QTY_B1_34,PROMO_B1_34,QTY_B1_35,PROMO_B1_35,QTY_B1_36,PROMO_B1_36,QTY_B1_37,PROMO_B1_37,QTY_B1_38,PROMO_B1_38,QTY_B1_39,PROMO_B1_39,QTY_B1_40,PROMO_B1_40,QTY_B1_41,PROMO_B1_41,QTY_B1_42,PROMO_B1_42,QTY_B2_1,PROMO_B2_1,QTY_B2_2,PROMO_B2_2,QTY_B2_3,PROMO_B2_3,QTY_B2_4,PROMO_B2_4,QTY_B2_5,PROMO_B2_5,QTY_B2_6,PROMO_B2_6,QTY_B2_7,PROMO_B2_7,QTY_B2_8,PROMO_B2_8,QTY_B2_9,PROMO_B2_9,QTY_B2_10,PROMO_B2_10,QTY_B2_11,PROMO_B2_11,QTY_B2_12,PROMO_B2_12,QTY_B2_13,PROMO_B2_13,QTY_B2_14,PROMO_B2_14,QTY_B2_15,PROMO_B2_15,QTY_B2_16,PROMO_B2_16,QTY_B2_17,PROMO_B2_17,QTY_B2_18,PROMO_B2_18,QTY_B2_19,PROMO_B2_19,QTY_B2_20,PROMO_B2_20,QTY_B2_21,PROMO_B2_21,QTY_B2_22,PROMO_B2_22,QTY_B2_23,PROMO_B2_23,QTY_B2_24,PROMO_B2_24,QTY_B2_25,PROMO_B2_25,QTY_B2_26,PROMO_B2_26,QTY_B2_27,PROMO_B2_27,QTY_B2_28,PROMO_B2_28,QTY_B2_29,PROMO_B2_29,QTY_B2_30,PROMO_B2_30,QTY_B2_31,PROMO_B2_31,QTY_B2_32,PROMO_B2_32,QTY_B2_33,PROMO_B2_33,QTY_B2_34,PROMO_B2_34,QTY_B2_35,PROMO_B2_35,QTY_B2_36,PROMO_B2_36,QTY_B2_37,PROMO_B2_37,QTY_B2_38,PROMO_B2_38,QTY_B2_39,PROMO_B2_39,QTY_B2_40,PROMO_B2_40,QTY_B2_41,PROMO_B2_41,QTY_B2_42,PROMO_B2_42,QTY_B2_43,PROMO_B2_43,QTY_B2_44,PROMO_B2_44,QTY_B2_45,PROMO_B2_45,QTY_B3_1,PROMO_B3_1,QTY_B3_2,PROMO_B3_2,QTY_B3_3,PROMO_B3_3,QTY_B3_4,PROMO_B3_4,QTY_B3_5,PROMO_B3_5,QTY_B3_6,PROMO_B3_6,QTY_B3_7,PROMO_B3_7,QTY_B3_8,PROMO_B3_8,QTY_B3_9,PROMO_B3_9,QTY_B3_10,PROMO_B3_10,QTY_B3_11,PROMO_B3_11,QTY_B3_12,PROMO_B3_12,QTY_B3_13,PROMO_B3_13,QTY_B3_14,PROMO_B3_14,QTY_B3_15,PROMO_B3_15,QTY_B3_16,PROMO_B3_16,QTY_B3_17,PROMO_B3_17,QTY_B3_18,PROMO_B3_18,QTY_B3_19,PROMO_B3_19,QTY_B3_20,PROMO_B3_20,QTY_B3_21,PROMO_B3_21,QTY_B4_1,PROMO_B4_1,QTY_B4_2,PROMO_B4_2,QTY_B4_3,PROMO_B4_3,QTY_B4_4,PROMO_B4_4,QTY_B4_5,PROMO_B4_5,QTY_B4_6,PROMO_B4_6,QTY_B4_7,PROMO_B4_7,QTY_B4_8,PROMO_B4_8,QTY_B4_9,PROMO_B4_9,QTY_B4_10,PROMO_B4_10
2014-01-02,7,0,3,0,0,0,2,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,2,0,5,0,2,0,0,0,7,0,1,0,0,0,0,0,4,0,1,0,2,0,4,0,2,0,3,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,19,0,4,0,0,0,2,0,3,0,5,0,0,0,0,0,8,1,14,1,3,1,6,1,1,1,3,1,3,0,4,1,0,0,0,0,4,1,0,0,14,1,2,1,3,0,10,1,0,0,0,0,4,1,4,1,1,1,0,0,1,0,2,1,6,1,15,1,5,1,6,1,2,1,3,1,4,1,7,0,7,1,5,1,10,1,5,1,5,1,2,0,1,0,1,0,5,1,10,1,0,0,2,0,2,0,1,0,3,0,1,0,0,0,1,0,2,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,4,0,1,0,4,0,4,0,0,0,1,0,2,0,0,0,11,0,0,0,2,0,1,0,4,0,3,0,1,0,12,0
2014-01-03,5,0,0,0,0,0,6,0,9,0,1,0,2,0,4,0,0,0,1,0,4,0,0,0,4,0,4,0,3,0,8,0,2,0,13,0,1,0,0,0,2,0,3,0,0,0,10,0,3,0,4,0,3,0,1,0,1,0,0,0,0,0,0,0,2,0,3,0,1,0,2,0,2,0,7,0,0,0,5,0,15,0,5,0,0,0,0,0,7,1,12,1,2,1,7,1,7,1,0,0,2,0,8,1,2,0,2,0,3,1,1,1,17,1,0,0,1,0,19,1,0,0,1,0,5,1,5,1,2,1,4,1,1,0,14,1,3,1,8,1,1,1,6,1,6,1,3,1,5,1,9,0,21,1,8,1,13,1,11,1,5,1,5,0,5,0,2,0,3,1,12,1,0,0,0,0,1,0,1,0,5,0,3,0,1,0,1,0,1,0,1,0,2,0,1,0,5,0,0,0,1,0,0,0,6,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,5,0,3,0,7,0,0,0,0,0,5,0,2,0,3,0
2014-01-04,9,0,7,0,2,0,1,0,5,0,2,0,0,0,6,0,4,0,5,0,2,0,7,0,10,0,5,0,1,0,2,0,0,0,15,0,3,0,1,0,6,0,1,0,2,0,1,0,0,0,5,0,1,0,5,0,6,0,1,0,2,0,4,0,4,0,3,0,2,0,4,0,2,0,6,0,6,0,7,0,4,0,3,0,0,0,0,0,6,1,16,1,6,1,4,1,1,1,5,1,4,0,14,1,4,0,1,0,11,1,11,1,21,1,1,1,1,0,9,1,4,0,0,0,4,1,10,1,4,1,0,0,3,0,8,1,13,1,14,1,2,1,10,1,2,1,10,1,3,1,5,0,11,1,10,1,13,1,4,1,1,1,1,0,2,0,2,0,4,1,8,1,1,0,0,0,1,0,0,0,5,0,7,0,2,0,0,0,4,0,2,0,7,0,7,0,10,0,1,0,2,0,4,0,16,0,9,0,3,0,6,0,1,0,7,0,9,0,7,0,4,0,1,0,2,0,0,0,5,0,6,0,3,0,8,0
2014-01-05,5,0,1,0,2,0,2,0,3,0,0,0,1,0,4,0,5,0,1,0,0,0,19,0,5,0,4,0,2,0,0,0,0,0,2,0,2,0,4,0,0,0,1,0,3,0,1,0,3,0,5,0,0,0,2,0,4,0,0,0,1,0,8,0,1,0,1,0,1,0,2,0,1,0,0,0,2,0,4,0,1,0,3,0,0,0,2,0,1,1,11,1,2,1,1,1,6,1,0,0,5,0,1,1,2,0,2,0,2,1,0,0,5,1,0,0,5,0,1,1,1,0,2,0,1,1,3,1,4,1,1,1,5,0,1,1,3,1,1,1,0,0,5,1,3,1,0,0,2,1,3,0,7,1,7,1,3,1,0,0,4,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,4,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,5,0,2,0,2,0,0,0,0,0,1,0,10,0,0,0,1,0,8,0
2014-01-06,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,3,0,5,0,4,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,1,0,6,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,3,1,2,1,1,1,0,0,1,1,2,1,0,0,3,1,0,0,0,0,1,1,2,1,8,1,0,0,0,0,4,1,0,0,0,0,2,1,2,1,1,1,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,3,0,6,1,2,1,2,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,4,1,1,0,0,0,3,1
2014-01-07,12,0,2,0,6,0,4,0,1,0,0,0,1,0,4,0,1,0,4,0,6,0,13,0,0,0,2,0,1,0,2,0,0,0,3,0,0,0,9,0,0,0,2,0,3,0,0,0,5,0,1,0,6,0,7,0,6,0,4,0,8,0,7,0,2,0,3,0,0,0,0,0,11,0,8,0,4,0,3,0,6,0,2,0,0,0,5,0,13,1,4,1,2,1,3,1,3,1,9,1,1,0,3,1,1,0,1,0,6,1,6,1,12,1,0,0,2,0,5,1,1,0,2,0,6,1,4,1,4,1,7,1,0,0,8,1,1,1,7,1,3,1,7,1,1,1,5,1,3,1,1,0,6,1,8,1,11,1,6,1,9,1,1,0,1,0,0,0,3,1,1,1,1,0,2,0,1,0,0,0,1,0,3,0,3,0,2,0,2,0,1,0,0,0,1,0,1,0,0,0,5,0,2,0,8,0,2,0,3,0,1,0,3,0,2,0,6,1,1,0,5,1,2,1,1,1,3,1,3,1,2,0,2,1,3,1
2014-01-08,2,0,0,0,5,0,2,0,3,0,0,0,1,0,1,0,5,0,4,0,3,0,10,0,1,0,4,0,3,0,4,0,0,0,1,0,3,0,11,0,0,0,4,0,0,0,0,0,2,0,3,0,0,0,3,0,9,0,6,0,1,0,2,0,0,0,1,0,8,0,0,0,7,0,4,0,2,0,2,0,3,0,4,0,0,0,3,0,4,1,17,1,1,1,6,1,3,1,5,1,1,0,3,1,1,0,0,0,6,1,0,0,10,1,0,0,2,0,7,1,2,0,0,0,5,1,6,1,2,1,2,1,0,0,4,1,2,1,10,1,1,1,5,1,2,1,2,1,5,1,2,0,1,1,2,1,8,1,3,1,1,1,1,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,6,1,1,1,2,0,2,1,0,0,1,1,2,1,5,1,3,1,5,1
2014-01-09,2,0,2,0,8,0,2,0,2,0,1,0,0,0,1,0,3,0,1,0,0,0,17,0,5,0,4,0,1,0,4,0,0,0,3,0,1,0,6,0,1,0,1,0,1,0,6,0,0,0,4,0,0,0,4,0,4,0,3,0,2,0,3,0,2,0,0,0,0,0,1,0,2,0,8,0,3,0,3,0,0,0,1,0,0,0,2,0,2,1,12,1,4,1,3,1,7,1,1,1,2,0,1,1,2,0,1,0,10,1,0,0,13,1,0,0,7,0,6,1,1,0,0,0,6,1,4,1,1,1,1,1,0,0,0,0,7,1,9,1,5,1,5,1,0,0,6,1,8,1,0,0,11,1,18,1,6,1,6,1,1,1,2,0,2,0,5,0,4,1,2,1,1,0,1,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,8,0,2,0,1,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,3,1,0,0,1,0,7,1,1,1,11,1
2014-01-10,3,0,2,0,3,0,0,0,1,0,0,0,1,0,3,0,5,0,1,0,2,0,26,0,11,0,2,0,3,0,3,0,0,0,0,0,1,0,11,0,3,0,1,0,3,0,2,0,2,0,1,0,0,0,4,0,2,0,3,0,3,0,13,0,0,0,1,0,2,0,0,0,7,0,6,0,4,0,4,0,5,0,10,0,0,0,1,0,2,1,12,1,7,1,2,1,4,1,2,1,4,0,2,1,0,0,4,0,4,1,1,1,16,1,1,1,0,0,8,1,1,0,0,0,5,1,2,1,1,1,2,1,0,0,3,1,7,1,5,1,0,0,4,1,2,1,6,1,1,1,3,0,15,1,3,1,4,1,9,1,7,1,7,0,0,0,1,0,0,0,4,1,0,0,0,0,2,0,1,0,3,0,4,0,2,0,1,0,1,0,2,0,0,0,0,0,3,0,2,0,3,0,0,0,1,0,2,0,0,0,2,0,1,0,1,0,24,1,4,1,1,1,0,0,3,1,0,0,0,0,7,1,2,1,5,1
2014-01-11,5,0,5,0,7,0,3,0,4,0,2,0,3,0,2,0,7,0,4,0,5,0,33,0,12,0,4,0,1,0,2,0,3,0,8,0,1,0,9,0,2,0,10,0,4,0,3,0,2,0,3,0,2,0,5,0,2,0,4,0,9,0,6,0,2,0,2,0,4,0,3,0,17,0,7,0,16,0,4,0,4,0,8,0,2,0,11,0,5,1,22,1,4,1,2,1,7,1,4,1,6,0,5,1,2,0,1,0,2,1,3,1,20,1,1,1,1,0,14,1,2,0,1,0,9,1,6,1,6,1,1,1,5,0,9,1,15,1,13,1,5,1,9,1,3,1,2,1,4,1,12,0,11,1,6,1,10,1,3,1,12,1,7,0,3,0,3,0,3,1,2,1,3,0,0,0,3,0,0,0,3,0,6,0,1,0,0,0,4,0,5,0,5,0,1,0,9,0,2,0,2,0,2,0,4,0,11,0,0,0,3,0,0,0,1,0,6,1,1,0,5,1,2,1,3,1,1,0,0,0,13,1,1,0,7,1
